ddd,Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average,L4,L8,StdDev
RB,Darren Sproles,19.6,5.9,19.6,1.7,4.7,1.7,9,X,4.6,8.4,14.9,6.5,20,12.5,5.5,13.5,13.4,10.09,11.23,11.84,6.25
RB,Jeremy Langford,0.1,8.1,X,0.4,2.2,9.7,X,4.6,25.2,40.2,13.2,12.3,8.8,9.4,6.7,8.3,1.4,10.04,6.45,12.54,10.46
RB,C.J. Anderson,8.8,3.9,3.7,8,6,10.6,X,20.6,4.8,0.9,9.2,34.3,6.4,X,3,14.1,15,9.95,10.70,11.84,8.52
RB,Shane Vereen,10,17.5,2.3,2.1,25,1.6,7.2,20.3,14.3,4.6,X,7.6,4,2,21.2,4.4,14.4,9.91,10.50,8.31,7.82
RB,Matt Jones,2.8,31.6,2.8,1.1,10.7,X,8.1,X,5.4,30.7,2.2,7.4,6.4,10.6,4.6,X,X,9.57,7.60,10.32,10.05
RB,Spencer Ware,X,X,X,X,X,X,0.8,7.2,X,0.4,23.1,23.5,10.5,5.2,X,1.5,13.6,9.53,6.77,11.11,8.98
RB,Javorius Allen,4.4,1.7,1.2,1.9,5.8,3.1,4.5,6.1,X,3.3,16.5,18.4,38,9.8,0.8,22.4,13,9.43,11.50,15.28,10.13
RB,Khiry Robinson,12,6.7,10,10.1,5.2,6.7,16.1,3.7,X,X,X,X,X,X,X,X,X,8.81,0.00,0.00,4.04
RB,Isaiah Crowell,5.3,13.2,3.6,15.5,16.7,6.1,0.9,3.6,9.4,0.9,X,0.7,7.4,31.4,6,14.8,5.3,8.80,14.38,9.50,8.00
RB,Antonio Andrews,X,X,13.1,X,14.4,3.5,5.7,11.2,12.1,0.8,11.4,5.6,13.8,8,12,X,2.3,8.76,7.43,7.70,4.68
RB,Alfred Blue,5.9,2,22.9,1.7,4.3,X,0.8,12.2,X,4.1,18.2,15.1,1.4,X,12.7,6,14.4,8.69,11.03,10.27,7.12
RB,Shaun Draughn,0.4,X,1.2,1.5,X,X,X,X,13.6,X,15.7,13.6,19.6,7.1,5.2,X,X,8.66,6.15,12.24,7.14
RB,Dexter McCluster,0.8,16.4,5.2,X,2.8,13.2,12.8,7.8,5.7,14.2,3.8,X,X,11,X,X,X,8.52,11.00,9.67,5.24
RB,Andre Ellington,13.6,X,X,X,12.3,7.4,7.9,X,X,17.8,1.7,7.6,X,X,X,5.5,1.9,8.41,3.70,6.90,5.34
RB,Joique Bell,6.1,3.8,7.4,X,X,X,5.5,5.6,X,5.5,5,16.2,5,9.5,18.1,10.2,7.8,8.13,11.40,9.66,4.42
RB,Melvin Gordon,8.7,10.8,5.1,6.6,15.4,1.9,2.9,11.1,8.6,X,5.9,13,6.3,10.3,5.7,X,X,8.02,8.00,8.24,3.82
RB,Travaris Cadet,X,1.2,X,X,X,X,X,X,X,X,X,X,2.2,5.4,7.6,16.5,13.3,7.70,10.70,9.00,6.11
RB,Donald Brown,X,X,X,X,X,X,X,X,1.3,X,X,0.2,6.7,X,12.4,14,11.1,7.62,12.50,8.88,5.86
RB,Ameer Abdullah,19.4,2.8,12.2,6.4,2.5,9.9,4.3,0.3,X,3.2,5.6,8.5,6.7,6.4,15.9,8.8,6.1,7.44,9.30,7.65,5.03
